year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,party_simplified,vote_percentage
1976,IOWA,IA,19,42,31,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,619931,1279303,20210113,DEMOCRAT,48.458496540694426
1976,IOWA,IA,19,42,31,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,20057,1279303,20210113,OTHER,1.5678068448209688
1976,IOWA,IA,19,42,31,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN PARTY OF IOWA,0.0,3041,1279303,20210113,OTHER,0.23770756419706668
1976,IOWA,IA,19,42,31,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,0.0,1454,1279303,20210113,LIBERTARIAN,0.11365563904719993
1976,IOWA,IA,19,42,31,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,0.0,551,1279303,20210113,OTHER,0.04307032813961978
1976,IOWA,IA,19,42,31,US PRESIDENT,SCATTERING,Unknown Party,0.0,509,1279303,20210113,OTHER,0.03978729042298814
1976,IOWA,IA,19,42,31,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,0.0,262,1279303,20210113,OTHER,0.020479901946606864
1976,IOWA,IA,19,42,31,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,0.0,241,1279303,20210113,OTHER,0.018838383088291045
1976,IOWA,IA,19,42,31,US PRESIDENT,"ZEIDLER, FRANK",SOCIALIST U.S.A.,0.0,233,1279303,20210113,OTHER,0.0182130425708374
1976,IOWA,IA,19,42,31,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,0.0,160,1279303,20210113,OTHER,0.012506810349072894
1976,KANSAS,KS,20,47,32,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,502752,957845,20210113,REPUBLICAN,52.487824230433944
1976,KANSAS,KS,20,47,32,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,430421,957845,20210113,DEMOCRAT,44.936393675385894
1976,KANSAS,KS,20,47,32,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,13185,957845,20210113,OTHER,1.3765275175002218
1976,KANSAS,KS,20,47,32,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,0.0,4724,957845,20210113,OTHER,0.49319044313015153
1976,KANSAS,KS,20,47,32,US PRESIDENT,"MACBRIDE, ROGER",INDEPENDENT,0.0,3242,957845,20210113,OTHER,0.3384681237569753
1976,KANSAS,KS,20,47,32,US PRESIDENT,"MADDOX, LESTER",CONSERVATIVE,0.0,2118,957845,20210113,OTHER,0.22112137141186727
1976,KANSAS,KS,20,47,32,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,0.0,1403,957845,20210113,OTHER,0.1464746383809489
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,0.0,615717,1167142,20210113,DEMOCRAT,52.75424926872652
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"FORD, GERALD",REPUBLICAN,0.0,531852,1167142,20210113,REPUBLICAN,45.568748275702525
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,0.0,8308,1167142,20210113,OTHER,0.7118242681695972
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,0.0,6837,1167142,20210113,OTHER,0.5857899038848744
1976,KENTUCKY,KY,21,61,51,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,0.0,2328,1167142,20210113,OTHER,0.19946159079186596
